Vegetation Cover,NO3,NH4,P,K,SO4,B,Organic Matter,pH,Zn,Cu,Fe,Ca,Mg,Na
100.0,23.0,2.25,101.0,32.0,12.0,0.71,0.96,7.8,1.7,0.3,4.0,6.6,0.8,0.12
95.0,6.0,0.75,58.0,10.0,7.0,0.27,0.3,8.2,0.8,0.1,1.0,5.0,0.5,0.07
98.0,7.25,1.0,115.0,8.0,10.0,0.56,0.62,7.9,1.4,0.2,2.0,5.2,0.4,0.04
100.0,21.0,1.25,130.0,30.0,13.0,0.78,1.04,7.9,1.8,0.3,2.0,6.1,0.7,0.1
15.0,1.75,0.5,17.0,4.0,6.0,0.25,0.1,8.8,0.3,0.1,1.0,4.7,0.5,0.1
45.0,2.0,0.75,40.0,8.0,6.0,0.24,0.22,8.3,0.9,0.1,1.0,4.9,0.5,0.09
45.0,1.5,0.25,21.0,12.0,5.0,0.2,0.08,8.7,0.3,0.1,1.0,5.7,0.4,0.08
70.0,14.75,0.75,53.0,12.0,8.0,0.18,0.41,8.3,0.8,0.1,1.0,5.6,0.4,0.07
100.0,12.75,2.0,72.0,15.0,10.0,0.64,0.45,8.0,1.2,0.2,2.0,5.6,0.5,0.08
100.0,18.5,1.75,47.0,21.0,7.0,0.29,0.28,8.3,0.6,0.1,1.0,5.9,0.5,0.11
80.0,6.25,1.25,46.0,17.0,10.0,0.26,0.13,8.5,0.5,0.1,1.0,6.6,0.4,0.09
99.0,7.5,1.0,58.0,13.0,6.0,0.27,0.36,8.1,0.7,0.1,1.0,5.2,0.4,0.04
90.0,2.0,0.75,31.0,12.0,6.0,0.22,0.55,8.7,0.3,0.1,1.0,5.7,0.4,0.05
90.0,3.25,1.25,41.0,10.0,6.0,0.22,0.54,8.6,0.4,0.1,1.0,5.3,0.4,0.07
80.0,2.25,1.5,56.0,7.0,5.0,0.26,0.9,8.6,0.4,0.1,1.0,6.0,0.4,0.05
85.0,4.0,0.75,41.0,4.0,6.0,0.23,0.1,8.7,0.4,0.1,1.0,5.5,0.4,0.04
55.0,9.25,2.25,11.0,10.0,10.0,0.55,0.77,7.9,1.6,0.4,2.0,5.2,0.5,0.08
98.0,22.5,2.0,95.0,13.0,11.0,0.54,0.83,7.7,1.3,0.2,1.0,5.9,0.6,0.1
45.0,8.0,2.0,64.0,7.0,8.0,0.2,0.35,8.1,0.5,0.1,1.0,4.5,0.4,0.04
98.0,16.0,2.0,114.0,17.0,12.0,0.81,1.78,7.8,1.7,0.3,2.0,6.6,0.6,0.11
75.0,11.75,2.0,109.0,12.0,12.0,0.43,0.46,8.0,1.2,0.1,2.0,5.8,0.6,0.06
30.0,0.25,0.75,21.0,6.0,4.0,0.15,0.19,8.7,0.1,0.1,1.0,4.2,0.4,0.06
70.0,6.75,1.5,81.0,14.0,7.0,0.22,0.57,8.1,0.7,0.1,1.0,5.1,0.4,0.04
75.0,14.25,2.25,49.0,15.0,10.0,0.25,0.88,7.7,0.5,0.1,1.0,5.4,0.5,0.05
70.0,63.5,2.25,160.0,35.0,24.0,1.5,2.25,8.0,2.9,0.9,3.0,6.8,0.6,0.21
98.0,23.75,1.75,76.0,19.0,11.0,0.5,0.65,7.9,0.9,0.1,1.0,5.8,0.5,0.11
95.0,14.25,1.5,61.0,22.0,8.0,0.4,0.58,7.9,0.8,0.1,1.0,5.5,0.6,0.09
98.0,5.0,0.75,49.0,13.0,6.0,0.2,0.11,8.4,0.5,0.1,1.0,5.7,0.4,0.1
75.0,2.25,0.75,36.0,9.0,6.0,0.19,0.21,8.6,0.3,0.1,1.0,6.0,0.4,0.07
90.0,6.5,1.5,57.0,13.0,7.0,0.34,0.33,8.3,0.6,0.2,1.0,5.0,0.5,0.1
85.0,14.5,1.5,59.0,15.0,11.0,0.53,0.39,8.4,0.7,0.1,1.0,5.3,0.6,0.12
15.0,0.25,1.75,21.0,14.0,6.0,0.3,0.12,8.8,0.2,0.1,1.0,5.8,0.5,0.11
